session_duration_sec,event_velocity,cart_to_view_ratio,click_to_view_ratio,age,expected_uplift,loyalty_tier_Gold,loyalty_tier_Platinum,loyalty_tier_Silver,acquisition_channel_Organic,acquisition_channel_Paid Search,acquisition_channel_Referral,acquisition_channel_Social,device_type_desktop,device_type_mobile,device_type_tablet,channel_Affiliate,channel_Display,channel_Email,channel_Paid Search,channel_Social,objective_Acquisition,objective_Cross-sell,objective_Reactivation,objective_Retention,conversion_probability,segment,demand_signal
0.0,1.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003665074072338036,Low Interest,Weak
0.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01687738230622898,Low Interest,Weak
0.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01682434669030393,Low Interest,Weak
0.0,1.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036650811710118815,Low Interest,Weak
0.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01646111078832025,Low Interest,Weak
0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030771855441941196,Low Interest,Weak
0.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036653803168238573,Low Interest,Weak
0.0,1.0,0.0,1.0,42.0,0.119,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.003666008546226044,Low Interest,Weak
0.0,1.0,0.0,1.0,37.0,0.066,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003665747769939083,Low Interest,Weak
0.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016727186012145817,Low Interest,Weak
0.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017582003501521816,Low Interest,Weak
